grid_id,external_id_type,external_id
grid.5018.c,ISNI,0000 0001 2149 4407
grid.5018.c,FundRef,501100003825
grid.5037.1,ISNI,0000000121581746
grid.5072.0,ISNI,0000 0001 0304 893X
grid.5098.4,ISNI,0000 0001 2286 8650
grid.5100.4,ISNI,0000 0001 2322 497X
grid.5110.5,ISNI,0000000121539003
grid.5115.0,ISNI,0000 0001 2299 5510
grid.5115.0,HESA,0047
grid.5115.0,UCAS,A60
grid.5115.0,UKPRN,10000291
grid.5117.2,ISNI,0000 0001 0742 471X
grid.5117.2,FundRef,501100002702
grid.5120.6,ISNI,0000 0001 2159 8361
grid.5132.5,ISNI,0000 0001 2312 1970
grid.5132.5,FundRef,501100001717
grid.5133.4,ISNI,0000 0001 1941 4308
grid.5146.6,ISNI,0000 0004 0611 5458
grid.5155.4,ISNI,0000 0001 1089 1036
grid.5164.6,ISNI,0000 0001 0941 7898
grid.5170.3,ISNI,0000 0001 2181 8870
grid.5173.0,ISNI,0000 0001 2298 5320
grid.5196.b,ISNI,0000 0000 9864 2490
grid.5214.2,ISNI,0000 0001 0669 8188
grid.5214.2,HESA,0106
grid.5214.2,UCAS,G42
grid.5214.2,UKPRN,10007762
grid.5216.0,ISNI,0000 0001 2155 0800
grid.5216.0,FundRef,501100005187
grid.5239.d,ISNI,0000 0001 2286 5329
grid.5252.0,ISNI,0000 0004 1936 973X
grid.5252.0,FundRef,501100005722
grid.5253.1,ISNI,0000 0001 0328 4908
grid.5254.6,ISNI,0000 0001 0674 042X
grid.5254.6,FundRef,501100001734
grid.5259.b,ISNI,0000 0001 1009 8986
grid.5268.9,ISNI,0000 0001 2168 1800
grid.5284.b,ISNI,0000 0001 0790 3681
grid.5288.7,ISNI,0000 0000 9758 5690
grid.5288.7,FundRef,100007804
grid.5290.e,ISNI,0000 0004 1936 9975
grid.5290.e,FundRef,501100004423
grid.5292.c,ISNI,0000 0001 2097 4740
grid.5292.c,FundRef,501100001831
grid.5319.e,ISNI,0000 0001 2179 7512
grid.5326.2,ISNI,0000 0001 1940 4177
grid.5326.2,FundRef,501100004462
grid.5328.c,ISNI,0000 0001 2186 3954
grid.5329.d,ISNI,0000 0001 2348 4034
grid.5329.d,FundRef,100007223
grid.5330.5,ISNI,0000 0001 2107 3311
grid.5330.5,FundRef,501100001652
grid.5333.6,ISNI,0000000121839049
grid.5333.6,FundRef,501100001703
grid.5333.6,FundRef,501100001709
grid.5334.1,ISNI,0000 0004 0637 1566
grid.5335.0,ISNI,0000000121885934
grid.5335.0,FundRef,501100000727
grid.5335.0,FundRef,501100000590
grid.5335.0,FundRef,501100000742
grid.5335.0,FundRef,501100001625
grid.5335.0,FundRef,501100000591
grid.5335.0,FundRef,501100000609
grid.5335.0,FundRef,501100000621
grid.5335.0,FundRef,501100000622
grid.5335.0,FundRef,501100000644
grid.5335.0,FundRef,501100000648
grid.5335.0,FundRef,501100000653
grid.5335.0,FundRef,501100000663
grid.5335.0,FundRef,501100005705
grid.5335.0,FundRef,501100000735
grid.5335.0,FundRef,501100000580
grid.5335.0,FundRef,501100000585
grid.5335.0,FundRef,501100000587
grid.5335.0,FundRef,501100000602
grid.5335.0,FundRef,501100000603
grid.5335.0,FundRef,501100000705
grid.5335.0,FundRef,501100000710
grid.5335.0,FundRef,501100003987
grid.5335.0,FundRef,501100004537
grid.5335.0,FundRef,501100005796
grid.5335.0,HESA,0114
grid.5335.0,UCAS,C0121
grid.5335.0,UKPRN,10007788
grid.5336.3,ISNI,0000 0004 0497 2560
grid.5337.2,ISNI,0000 0004 1936 7603
grid.5337.2,FundRef,501100000883
grid.5337.2,FundRef,501100005618
grid.5337.2,HESA,0112
grid.5337.2,UCAS,B78
grid.5337.2,UKPRN,10007786
grid.5338.d,ISNI,0000 0001 2173 938X
grid.5338.d,FundRef,501100003508
grid.5342.0,ISNI,0000 0001 2069 7798
grid.5342.0,FundRef,501100004385
grid.5361.1,ISNI,0000 0000 8853 2677
grid.5368.8,ISNI,0000 0004 0635 247X
grid.5368.8,FundRef,501100000900
grid.5371.0,ISNI,0000 0001 0775 6028
grid.5371.0,FundRef,501100002835
grid.5373.2,ISNI,0000000108389418
grid.5373.2,FundRef,501100002666
grid.5374.5,ISNI,0000 0001 0943 6490
grid.5379.8,ISNI,0000000121662407
grid.5379.8,FundRef,501100000770
grid.5379.8,HESA,0204
grid.5379.8,UCAS,M20
grid.5379.8,UCAS,M25
grid.5379.8,UKPRN,10007798
grid.5380.e,ISNI,0000 0001 2298 9663
grid.5386.8,ISNI,000000041936877X
grid.5386.8,FundRef,100006480
grid.5386.8,FundRef,100007231
grid.5386.8,FundRef,100006077
grid.5386.8,FundRef,100006471
grid.5386.8,FundRef,100006923
grid.5390.f,ISNI,0000 0001 2113 062X
grid.5390.f,FundRef,100007374
grid.5395.a,ISNI,0000 0004 1757 3729
grid.5398.7,ISNI,0000 0004 0641 6373
grid.5398.7,FundRef,501100001671
grid.5399.6,ISNI,0000 0001 2176 4817
grid.5399.6,FundRef,100007586
grid.5403.2,ISNI,0000000405996433
