geonames_city_id,city,nuts_level1_code,nuts_level1_name,nuts_level1_ascii_name,nuts_level2_code,nuts_level2_name,nuts_level2_ascii_name,nuts_level3_code,nuts_level3_name,nuts_level3_ascii_name,geonames_admin1_code,geonames_admin1_name,geonames_admin1_ascii_name,geonames_admin2_code,geonames_admin2_name,geonames_admin2_ascii_name
2960634,Dudelange,LU0,Luxembourg,Luxembourg,LU00,Luxembourg,Luxembourg,LU000,Luxembourg,Luxembourg,LU.03,Luxembourg,Luxembourg,LU.03.03,Canton d'Esch-sur-Alzette,Canton d'Esch-sur-Alzette
3407669,Ananindeua,,,,,,,,,,BR.16,Pará,Para,BR.16.1500800,Ananindeua,Ananindeua
2753996,Hoensbroek,NL4,Zuid-Nederland,Zuid-Nederland,NL42,Limburg (NL),Limburg (NL),NL423,Zuid-Limburg,Zuid-Limburg,NL.05,Limburg,Limburg,NL.05.0917,Gemeente Heerlen,Gemeente Heerlen
3515428,Tlalpan,,,,,,,,,,MX.09,The Federal District,The Federal District,,,
4946863,Peabody,,,,,,,,,,US.MA,Massachusetts,Massachusetts,US.MA.009,Essex County,Essex County
3522445,Ocoyoacac,,,,,,,,,,MX.15,México,Mexico,,,
4255466,Carmel,,,,,,,,,,US.IN,Indiana,Indiana,US.IN.057,Hamilton County,Hamilton County
1253184,Vijayawāda,,,,,,,,,,IN.02,Andhra Pradesh,Andhra Pradesh,,,
2639272,Rochdale,UKD,North West (England),North West (England),UKD3,Greater Manchester,Greater Manchester,UKD32,Greater Manchester North,Greater Manchester North,GB.ENG,England,England,GB.ENG.L2,Borough of Rochdale,Borough of Rochdale
3080985,Zabrze,PL2,Region Poludniowy,Region Poludniowy,PL22,Slaskie,Slaskie,PL229,Gliwicki,Gliwicki,PL.83,Silesian Voivodeship,Silesian Voivodeship,PL.83.2478,Zabrze,Zabrze
4178560,Winter Park,,,,,,,,,,US.FL,Florida,Florida,US.FL.095,Orange County,Orange County
3146631,Lysaker,NO0,Norge,Norge,NO01,Oslo og Akershus,Oslo og Akershus,NO012,Akershus,Akershus,NO.01,Akershus,Akershus,NO.01.0219,Bærum,Baerum
295277,Eilat,,,,,,,,,,IL.01,Southern District,Southern District,,,
2513703,Moncada,ES5,Este,Este,ES52,Comunidad Valenciana,Comunidad Valenciana,ES523,Valencia / València,Valencia / Valencia,ES.60,Valencia,Valencia,ES.60.V,Província de València,Provincia de Valencia
